type_envoi,base_calcul,zone_type,zone_valeur,tranche_min,tranche_max,prix,unite,mini_perception,valid_from,valid_to,source_filename
messagerie,poids,departement,08,500,1000,17.7,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,09,0,10,19.26,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,09,10,20,23.98,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,09,20,30,29.23,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,09,30,40,34.3,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,09,40,50,39.99,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,09,50,60,44.47,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,09,60,70,50.36,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,09,70,80,54.83,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,09,80,90,60.03,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,09,90,100,64.51,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,09,100,250,62.82,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,09,250,500,57.2,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,09,500,1000,55.38,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,10,0,10,15.78,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,10,10,20,16.88,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,10,20,30,18.24,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,10,30,40,21.23,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,10,40,50,23.95,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,10,50,60,26.68,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,10,60,70,29.88,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,10,70,80,32.86,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,10,80,90,34.08,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,10,90,100,35.26,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,10,100,250,36.96,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,10,250,500,20.94,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,10,500,1000,16.8,au_100kg,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,11,0,10,21.49,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,11,10,20,26.71,forfait,,,,SIFA 010126 - P U.xlsx
messagerie,poids,departement,11,20,30,31.94,forfait,,,,SIFA 010126 - P U.xlsx
