type_envoi,base_calcul,zone_type,zone_valeur,tranche_min,tranche_max,prix,unite,mini_perception,valid_from,valid_to,source_filename
messagerie,poids,departement,06,21.0,30.0,35.34,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,06,31.0,40.0,38.36,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,06,41.0,50.0,42.06,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,06,51.0,60.0,46.91,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,06,61.0,70.0,49.21,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,06,71.0,80.0,51.47,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,06,81.0,90.0,53.66,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,06,91.0,100.0,55.8,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,06,101.0,200.0,52.47,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,06,201.0,300.0,47.33,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,06,301.0,400.0,46.07,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,06,401.0,500.0,44.96,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,06,501.0,600.0,44.27,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,06,601.0,800.0,42.89,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,06,801.0,1000.0,42.56,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,06,1001.0,1500.0,41.46,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,06,1501.0,2000.0,41.03,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,07,1.0,10.0,19.64,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,07,11.0,20.0,19.8,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,07,21.0,30.0,20.86,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,07,31.0,40.0,22.89,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,07,41.0,50.0,27.14,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,07,51.0,60.0,30.34,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,07,61.0,70.0,33.26,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,07,71.0,80.0,34.58,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,07,81.0,90.0,36.95,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,07,91.0,100.0,38.19,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,07,101.0,200.0,35.55,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,07,201.0,300.0,33.96,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,07,301.0,400.0,33.45,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,07,401.0,500.0,33.18,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,07,501.0,600.0,30.01,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,07,601.0,800.0,29.98,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,07,801.0,1000.0,26.21,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,07,1001.0,1500.0,26.13,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,07,1501.0,2000.0,23.13,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,08,1.0,10.0,20.53,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,08,11.0,20.0,20.27,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,08,21.0,30.0,20.54,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,08,31.0,40.0,21.6,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,08,41.0,50.0,23.6,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,08,51.0,60.0,26.51,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,08,61.0,70.0,27.19,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,08,71.0,80.0,27.85,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,08,81.0,90.0,28.48,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,08,91.0,100.0,29.11,forfait,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,08,101.0,200.0,26.04,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,08,201.0,300.0,22.37,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,08,301.0,400.0,21.36,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
messagerie,poids,departement,08,401.0,500.0,20.66,au_100kg,,2026-01-01,,2026.01.01_TARIFS GN et PAL_SIFA_email (2).xlsx
