transporteur,type_envoi,base_calcul,zone_type,zone_valeur,dept_label,tranche_min,tranche_max,prix,unite,mini_perception,source_filename
Compte 100346,messagerie,poids,departement,06,ALPES MARITIMES,10,20.0,28.48,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,06,ALPES MARITIMES,20,30.0,34.55,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,06,ALPES MARITIMES,30,40.0,40.61,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,06,ALPES MARITIMES,40,50.0,46.68,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,06,ALPES MARITIMES,50,60.0,52.77,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,06,ALPES MARITIMES,60,70.0,53.82,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,06,ALPES MARITIMES,70,80.0,59.47,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,06,ALPES MARITIMES,80,90.0,65.72,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,06,ALPES MARITIMES,90,100.0,71.82,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,06,ALPES MARITIMES,100,250.0,71.82,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,06,ALPES MARITIMES,250,500.0,53.96,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,06,ALPES MARITIMES,500,1000.0,43.16,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,07,ARDECHE,0,10.0,18.41,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,07,ARDECHE,10,20.0,22.15,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,07,ARDECHE,20,30.0,26.25,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,07,ARDECHE,30,40.0,30.95,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,07,ARDECHE,40,50.0,35.58,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,07,ARDECHE,50,60.0,40.09,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,07,ARDECHE,60,70.0,44.71,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,07,ARDECHE,70,80.0,48.94,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,07,ARDECHE,80,90.0,53.9,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,07,ARDECHE,90,100.0,58.7,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,07,ARDECHE,100,250.0,58.7,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,07,ARDECHE,250,500.0,47.29,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,07,ARDECHE,500,1000.0,43.15,au_100kg,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,08,ARDENNES,0,10.0,13.8,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,08,ARDENNES,10,20.0,15.2,forfait,,SIFA 010126 - P U-1.xlsx
Compte 100346,messagerie,poids,departement,08,ARDENNES,20,30.0,17.43,forfait,,SIFA 010126 - P U-1.xlsx
